代號,名稱,年度,季別,除息交易日,收益分配基準日,收益分配發放日,配息,公告年度
0050,元大台灣50,115,M1,115年01月22日,115年01月28日,115年02月11日,1.0,115
0056,元大高股息,115,M1,115年01月22日,115年01月28日,115年02月11日,0.866,115
006203,元大MSCI台灣,115,M1,115年01月22日,115年01月28日,115年02月11日,1.8,115
00690,兆豐藍籌30,115,M2,115年02月26日,115年03月07日,115年03月18日,,115
00701,國泰股利精選30,115,M1,115年01月20日,115年01月26日,115年02月12日,0.7,115
00702,國泰標普低波高息,115,M1,115年01月20日,115年01月26日,115年02月12日,0.65,115
00714,群益道瓊美國地產,115,M1,115年01月20日,115年01月26日,115年02月13日,0.123,115
00717,富邦美國特別股,115,M1,115年01月20日,115年01月26日,115年02月12日,0.141,115
00730,富邦臺灣優質高息,115,M1,115年01月20日,115年01月26日,115年02月12日,0.11,115
00730,富邦臺灣優質高息,115,M2,115年02月25日,115年03月03日,115年03月20日,,115
00731,復華富時高息低波,115,M3,115年03月03日,115年03月09日,115年03月27日,,115
00735,國泰臺韓科技,115,M1,115年01月20日,115年01月26日,115年02月12日,1.0,115
00736,國泰新興市場,115,M1,115年01月20日,115年01月26日,115年02月12日,0.3,115
00770,國泰北美科技,115,M1,115年01月20日,115年01月26日,115年02月12日,4.2,115
00771,元大US高息特別股,115,M2,115年02月26日,115年03月07日,115年03月20日,,115
00775B,新光投等債15+,115,M2,115年02月25日,115年03月03日,115年03月18日,,115
00830,國泰費城半導體,115,M1,115年01月20日,115年01月26日,115年02月12日,9.0,115
00850,元大臺灣ESG永續,115,M2,115年02月26日,115年03月07日,115年03月20日,,115
00878,國泰永續高股息,115,M2,115年02月26日,115年03月07日,115年03月23日,,115
00881,國泰台灣科技龍頭,115,M1,115年01月20日,115年01月26日,115年02月12日,2.65,115
00882,中信中國高股息,115,M1,115年01月19日,115年01月25日,115年02月23日,0.45,115
00891,中信關鍵半導體,115,M2,115年02月26日,115年03月07日,115年03月25日,,115
00894,中信小資高價30,115,M2,115年02月26日,115年03月07日,115年03月25日,,115
00900,富邦特選高股息30,115,M1,115年01月20日,115年01月26日,115年02月12日,0.075,115
00900,富邦特選高股息30,115,M2,115年02月25日,115年03月03日,115年03月20日,,115
00904,新光臺灣半導體30,115,M1,115年01月16日,115年01月24日,115年02月05日,0.76,115
00905,FT臺灣Smart,115,M1,115年01月19日,115年01月25日,115年02月11日,0.25,115
00907,永豐優息存股,115,M2,115年02月25日,115年03月03日,115年03月20日,,115
00908,富邦入息REITs+,115,M1,115年01月20日,115年01月26日,115年02月12日,0.121,115
00911,兆豐洲際半導體,115,M1,115年01月19日,115年01月25日,115年02月05日,1.0,115
00912,中信臺灣智慧50,115,M1,115年01月19日,115年01月25日,115年02月23日,0.65,115
00913,兆豐台灣晶圓製造,115,M2,115年02月26日,115年03月07日,115年03月18日,,115
00917,中信特選金融,115,M1,115年01月19日,115年01月25日,115年02月23日,3.5,115
00923,群益台ESG低碳50,115,M2,115年02月26日,115年03月07日,115年03月25日,,115
00927,群益半導體收益,115,M1,115年01月19日,115年01月25日,115年02月13日,0.91,115
00929,復華台灣科技優息,115,M3,115年03月03日,115年03月09日,115年03月27日,,115
00929,復華台灣科技優息,115,M1,115年01月20日,115年01月26日,115年02月13日,0.1,115
00930,永豐ESG低碳高息,115,M1,115年01月20日,115年01月26日,115年02月13日,0.141,115
00932,兆豐永續高息等權,115,M2,115年02月26日,115年03月07日,115年03月18日,,115
00934,中信成長高股息,115,M1,115年01月19日,115年01月25日,115年02月23日,0.132,115
00934,中信成長高股息,115,M2,115年02月26日,115年03月07日,115年03月25日,,115
00936,台新永續高息中小,115,M1,115年01月16日,115年01月24日,115年02月05日,0.06,115
00936,台新永續高息中小,115,M2,115年02月25日,115年03月03日,115年03月18日,,115
00938,凱基優選30,115,M2,115年02月26日,115年03月07日,115年03月25日,,115
00939,統一台灣高息動能,115,M2,115年02月02日,115年02月08日,115年03月04日,0.072,115
00940,元大台灣價值高息,115,M2,115年02月02日,115年02月08日,115年03月02日,0.045,115
00940,元大台灣價值高息,115,M1,115年01月08日,115年01月14日,115年02月02日,0.045,115
00943,兆豐電子高息等權,115,M1,115年01月19日,115年01月25日,115年02月05日,0.065,115
00943,兆豐電子高息等權,115,M2,115年02月26日,115年03月07日,115年03月18日,,115
00944,野村趨勢動能高息,115,M1,115年01月19日,115年01月25日,115年02月12日,0.054,115
00944,野村趨勢動能高息,115,M2,115年02月26日,115年03月07日,115年03月26日,,115
00945B,凱基美國非投等債,115,M1,115年01月20日,115年01月26日,115年02月23日,0.088,115
00945B,凱基美國非投等債,115,M2,115年02月26日,115年03月07日,115年03月25日,,115
00946,群益科技高息成長,115,M1,115年01月06日,115年01月12日,115年01月30日,0.058,115
00946,群益科技高息成長,115,M2,115年02月03日,115年02月09日,115年03月11日,0.058,115
00947,台新臺灣IC設計,115,M1,115年01月16日,115年01月24日,115年02月05日,0.12,115
00952,凱基台灣AI50,115,M1,115年01月19日,115年01月25日,115年02月23日,0.05,115
00952,凱基台灣AI50,115,M2,115年02月26日,115年03月07日,115年03月25日,,115
00953B,群益優選非投等債,115,M1,115年01月06日,115年01月12日,115年01月30日,0.061,115
00953B,群益優選非投等債,115,M2,115年02月03日,115年02月09日,115年03月11日,0.061,115
00956,中信日經高股息,115,M1,115年01月19日,115年01月25日,115年02月23日,0.26,115
00960,野村全球航運龍頭,115,M1,115年01月19日,115年01月25日,115年02月12日,0.225,115
00961,FT臺灣永續高息,115,M2,115年02月26日,115年03月07日,115年03月25日,,115
00961,FT臺灣永續高息,115,M1,115年01月19日,115年01月25日,115年02月11日,0.02,115
00962,台新AI優息動能,115,M1,115年01月16日,115年01月24日,115年02月05日,0.03,115
00962,台新AI優息動能,115,M2,115年02月25日,115年03月03日,115年03月18日,,115
00963,中信全球高股息,115,M2,115年02月26日,115年03月07日,115年03月25日,,115
00963,中信全球高股息,115,M1,115年01月19日,115年01月25日,115年02月23日,0.045,115
00964,中信亞太高股息,115,M1,115年01月19日,115年01月25日,115年02月23日,0.088,115
00964,中信亞太高股息,115,M2,115年02月26日,115年03月07日,115年03月25日,,115
009808,華南永昌優選50,115,M2,115年02月26日,115年03月07日,115年03月18日,,115
00980A,主動野村臺灣優選,115,M2,115年02月26日,115年03月07日,115年03月26日,,115
00981T,平衡凱基雙核收息,115,M2,115年02月26日,115年03月07日,115年03月25日,,115
00981T,平衡凱基雙核收息,115,M1,115年01月20日,115年01月26日,115年02月23日,0.054,115
00982A,主動群益台灣強棒,115,M2,115年02月26日,115年03月07日,115年03月25日,,115
00982D,主動富邦動態入息,115,M2,115年02月25日,115年03月03日,115年03月20日,,115
00982D,主動富邦動態入息,115,M1,115年01月20日,115年01月26日,115年02月12日,0.052,115
00983D,主動富邦複合收益,115,M2,115年02月25日,115年03月03日,115年03月20日,,115
00983D,主動富邦複合收益,115,M1,115年01月20日,115年01月26日,115年02月12日,0.06,115
00984A,主動安聯台灣高息,115,M1,115年01月19日,115年01月25日,115年02月12日,0.168,115
00985B,群益ESG投等債0-5,115,M2,115年02月03日,115年02月09日,115年03月11日,0.048,115
00985B,群益ESG投等債0-5,115,M1,115年01月06日,115年01月12日,115年01月30日,0.048,115
