出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","1","2880","華南金","43326747.00","189679852.00","78511042.00","0.00","174904133.00","416433076.00","0.00","299834.00","50994781.00","580898.00","0.00","--","1565740024.00","3967436.00","0.00","56812.00","--","25154753.00","10060030.00","32528838.00","598197.00","3099544.00","3607937.00","2599543934.00","105372041.00","--","6430046.00","2230.00","43604178.00","21331328.00","35969556.00","1479535.00","--","2103901065.00","63637096.00","1003000.00","--","19872536.00","16303769.00","6109374.00","5252256.00","2430268010.00","110465199.00","17758986.00","37010734.00","4038948.00","--","--","169273867.00","2057.00","169275924.00","--","0.00","0.00","15.32"
"114/10/29","107","1","2881","富邦金","166071411.00","233078576.00","862452438.00","0.00","850839043.00","2272001700.00","3808028.00","70986986.00","151433040.00","637705.00","3179819.00","--","1737686435.00","20329836.00","0.00","24237002.00","--","225200100.00","176687516.00","56891970.00","28377321.00","26777585.00","58059400.00","6968735911.00","160182681.00","3510420.00","38715108.00","3274436.00","181080238.00","5963424.00","99192940.00","15798051.00","--","2206039690.00","190847587.00","5189487.00","--","3297609238.00","188035160.00","13164871.00","34367108.00","6442970439.00","115002640.00","136946503.00","280566155.00","-7075434.00","--","--","525439864.00","325608.00","525765472.00","0.00","0.00","0.00","45.69"
"114/10/29","107","1","2882","國泰金","307633813.00","106246175.00","1499678964.00","0.00","1132012716.00","2305093121.00","221211.00","93546024.00","157666558.00","4353419.00","--","--","2105919198.00","6778434.00","0.00","36466914.00","--","567598725.00","319493063.00","165174158.00","54923780.00","45471637.00","53687724.00","8961965634.00","113925781.00","--","93225997.00","--","102549699.00","50597632.00","68169670.00","15164847.00","--","2083438894.00","94500000.00","410307.00","--","5026680894.00","632098927.00","36629207.00","35682214.00","8353074069.00","133965102.00","130425473.00","299074962.00","35815353.00","0.00","0.00","599280890.00","9610675.00","608891565.00","0.00","0.00","0.00","44.73"
"114/10/29","107","1","2883","凱基金","53646943.00","38900851.00","365041238.00","0.00","414058132.00","854159312.00","--","63091117.00","112290891.00","745217.00","--","--","344620111.00","418079.00","0.00","16778760.00","46660694.00","90037848.00","25342581.00","31043200.00","21863322.00","12954620.00","42164867.00","2533817783.00","24780429.00","--","86461526.00","--","130517863.00","22800573.00","88735420.00","7036011.00","--","398847777.00","30000000.00","25452164.00","--","1330063879.00","107801009.00","8898113.00","26319550.00","2287714314.00","149774017.00","1239541.00","26379193.00","-3918818.00","-4067855.00","--","169406078.00","76697391.00","246103469.00","--","361380.00","499861842.00","11.70"
"114/10/29","107","1","2884","玉山金","53003748.00","78819938.00","453037677.00","0.00","151555583.00","3415940.00","--","--","87190831.00","14671.00","--","--","1234657628.00","--","0.00","--","--","14626930.00","1975391.00","28311202.00","6077569.00","1410129.00","7762359.00","2121859596.00","70191580.00","--","50384347.00","--","10009689.00","5777446.00","25823760.00","3097486.00","--","1743768388.00","46550000.00","349476.00","--","790519.00","7757596.00","769504.00","2044358.00","1967314149.00","102049200.00","24710706.00","26959995.00","717984.00","--","--","154437885.00","107562.00","154545447.00","--","0.00","0.00","15.16"
"114/10/29","107","1","2885","元大金","58379389.00","46719282.00","487156266.00","0.00","249116747.00","322767976.00","--","37144985.00","187433441.00","1052359.00","0.00","--","741594689.00","474786.00","0.00","1680969.00","3298770.00","48208390.00","6375777.00","22351598.00","35725945.00","6385202.00","39052004.00","2294918575.00","39225707.00","--","110862193.00","--","194577062.00","53660774.00","180502075.00","5862855.00","0.00","1030860793.00","65859458.00","72878934.00","0.00","200250502.00","70543432.00","4008508.00","35084700.00","2064176993.00","118202325.00","37710997.00","53323691.00","4648207.00","-197606.00","--","213687614.00","17053968.00","230741582.00","0.00","0.00","15621000.00","18.10"
"114/10/29","107","1","2886","兆豐金","135089165.00","510004742.00","189796179.00","0.00","444574811.00","293213682.00","--","2786114.00","97524222.00","816771.00","--","--","1772643666.00","3532982.00","0.00","3216916.00","--","3566531.00","1693200.00","21925318.00","396106.00","6738381.00","4215647.00","3491734433.00","346105620.00","36435042.00","20101558.00","0.00","235691543.00","22900187.00","73782871.00","7794288.00","--","2351865510.00","30567331.00","1095025.00","--","26259084.00","13374739.00","2428270.00","8347880.00","3176748948.00","135998240.00","68194233.00","103345727.00","7417900.00","0.00","--","314956100.00","29385.00","314985485.00","--","0.00","0.00","23.16"
"114/10/29","107","1","2887","台新新光金","20499795.00","62695621.00","141298035.00","0.00","310016463.00","6095.00","--","3687135.00","132052729.00","357694.00","--","--","984838692.00","--","0.00","38944207.00","--","8529403.00","767439.00","19017944.00","2287546.00","3232055.00","7164256.00","1735395109.00","51516081.00","815360.00","21030054.00","--","108623338.00","18189168.00","28946776.00","2316174.00","--","1221537370.00","61700000.00","10532401.00","--","1650904.00","45471779.00","64666.00","5362786.00","1577756857.00","107056921.00","25834892.00","24529430.00","83430.00","--","--","157504673.00","133579.00","157638252.00","--","2615500.00","0.00","14.71"
"114/10/29","107","1","2889","國票金","2217073.00","265126.00","115877787.00","0.00","98425767.00","--","--","674965.00","24104780.00","488617.00","--","--","--","--","--","1709187.00","--","4578188.00","--","1858875.00","221420.00","141091.00","1067268.00","251630144.00","--","28349804.00","302019.00","--","160566787.00","12145486.00","9610849.00","261166.00","--","--","--","--","--","1469912.00","1815518.00","31496.00","408736.00","214961773.00","27866659.00","122240.00","4328720.00","801816.00","-158123.00","--","32961312.00","3707059.00","36668371.00","0.00","0.00","20000000.00","11.91"
"114/10/29","107","1","2890","永豐金","27278718.00","104426869.00","131202652.00","0.00","237035711.00","76494907.00","--","29874544.00","83765951.00","262037.00","--","--","860993865.00","--","0.00","439495.00","--","31329526.00","2600896.00","12614924.00","2310239.00","2373141.00","20989372.00","1623992847.00","43338439.00","--","25498650.00","0.00","59537727.00","49923877.00","34671707.00","1429326.00","--","1167504393.00","41530610.00","13497798.00","18437.00","3366225.00","29247271.00","1403758.00","11899157.00","1482867375.00","110500530.00","2228771.00","28332449.00","60163.00","--","--","141121913.00","3559.00","141125472.00","--","0.00","0.00","12.77"
"114/10/29","107","1","2891","中信金","135599035.00","250882775.00","346177230.00","0.00","387376010.00","1585094243.00","176990.00","16627925.00","160684356.00","1894410.00","--","--","2244906912.00","2805636.00","0.00","34192564.00","--","64764487.00","56907140.00","52887836.00","23552287.00","18055017.00","51269698.00","5433854551.00","72785581.00","14904392.00","87954817.00","1312.00","60014061.00","34334813.00","87149619.00","9551614.00","--","3015726364.00","111953233.00","--","--","1408827017.00","183178326.00","4136389.00","16312224.00","5106829762.00","198303196.00","50365712.00","100707786.00","-21849324.00","-582754.00","--","326944616.00","80173.00","327024789.00","0.00","0.00","27168002.00","16.51"
"114/10/29","107","1","2892","第一金","42444564.00","180972826.00","109364134.00","0.00","192232982.00","383010178.00","--","0.00","69996695.00","366445.00","--","--","1605610760.00","22111.00","0.00","2355220.00","--","23809799.00","9503914.00","27198031.00","396960.00","2937736.00","5251922.00","2655474277.00","172372100.00","78933.00","32849014.00","--","14316357.00","22003202.00","65025534.00","2492292.00","--","2025487877.00","27650000.00","1860000.00","--","21795995.00","54173169.00","6471621.00","7119422.00","2453695516.00","122163933.00","26107218.00","42445306.00","11062304.00","0.00","--","201778761.00","0.00","201778761.00","0.00","0.00","0.00","16.52"
"114/10/29","107","1","5880","合庫金","44188889.00","244796211.00","74985547.00","0.00","293375120.00","516084226.00","--","752867.00","34865221.00","1296519.00","--","--","2060465753.00","141988.00","0.00","127574.00","--","120472627.00","8428821.00","34385814.00","3548948.00","2547015.00","3037608.00","3443500748.00","265230665.00","--","15805377.00","--","52697130.00","25832493.00","43652496.00","2220295.00","--","2609796446.00","64610000.00","1401663.00","--","50496641.00","96466970.00","3093213.00","1812378.00","3233115767.00","122027036.00","57964343.00","23738462.00","2351617.00","--","--","206081458.00","4303523.00","210384981.00","--","0.00","0.00","16.89"
